Name,Rank,Country,Childrens,Age,Industry,NetWorth,Source,Citizenship,Education,Self_made,Status,Residence
Geng Jianming,1299,China,1,58,Real Estate,$2.4 B,real estate,China,"Master of Business Administration, Nanyang Technology University; Bachelor of Arts/Science, North China Institute of Astronautic Engineering",True,Married,"Langfang, China"
Gennady Kozovoy,2524,Russia,2,69,Energy,$1.1 B,coal,Russia,"Bachelor of Arts/Science, Irkutsk Polytechnic Institute",True,Married,"Mezhdurechensk, Russia"
Gennady Timchenko,78,Russia,3,68,Energy,$22 B,"oil, gas",Russia,"Bachelor of Arts/Science, Leningrad Mechanical Institute",True,Married,"Moscow, Russia"
Geoffrey Kwok,1008,Hong Kong,0,35,Real Estate,$3 B,real estate,Hong Kong,"Bachelor of Arts/Economics, Yale University",False,Single,"Hong Kong, Hong Kong"
Georg Haub,1174,Germany,0,59,Fashion & Retail,$2.7 B,retail,Germany,,False,Married,"Berlin, Germany"
Georg Nemetschek & family,727,Germany,2,87,Technology,$4 B,software,Germany,,True,Widowed,"Munich, Germany"
Georg Schaeffler,133,Germany,4,56,Automotive,$14.9 B,auto parts,Germany,,False,Divorced,"Herzogenaurach, Germany"
Georg Stumpf,404,Austria,0,48,Diversified,$6.5 B,"real estate, construction",Austria,,True,In Relationship,"Vienna, Austria"
Georg von Opel,1580,Switzerland,5,54,Finance & Investments,$2 B,"real estate, investments",Switzerland,University of Rhode Island,False,Married,"London, United Kingdom"
George Alexander Muthoot,2263,India,2,65,Finance & Investments,$1.3 B,financial services,India,"Chartered Accountant, Institute of Chartered Accountants of India; Bachelor of Commerce, University of Kerala",False,Married,"Ernakulam, India"
George Argyros & family,1580,United States,3,84,Real Estate,$2 B,"real estate, investments",United States,"Bachelor of Arts/Science, Chapman University",True,Married,"Newport Beach, California"
George Bishop,1517,United States,0,83,Energy,$2.1 B,oil & gas,United States,,True,Married,"The Woodlands, Texas"
George Jacob Muthoot,2263,India,2,68,Finance & Investments,$1.3 B,financial services,India,"Bachelor of Science in Engineering, Manipal University",False,Married,"Trivandrum, India"
George Joseph,1580,United States,5,99,Finance & Investments,$2 B,insurance,United States,"Bachelor of Arts/Science, Harvard University",True,Married,"Los Angeles, California"
George Kaiser,476,United States,3,78,Energy,$5.8 B,"oil & gas, banking",United States,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Harvard University",False,Married,"Tulsa, Oklahoma"
George Kurtz,1008,United States,2,50,Technology,$3 B,security software,United States,"Bachelor of Science, Seton Hall University",True,Married,"Paradise Valley, Arizona"
George Lucas,339,United States,4,76,Media & Entertainment,$7.4 B,Star Wars,United States,"Bachelor of Arts/Science, University of Southern California",True,Married,"San Anselmo, California"
George Marcus,2035,United States,0,79,Real Estate,$1.5 B,real estate,United States,"Bachelor of Arts/Economics, San Francisco State",True,,"Los Altos Hills, California"
George Pedersen,2674,United States,3,85,Manufacturing,$1 B,defense contractor,United States,,True,Married,"McLean, Virginia"
George Roberts,327,United States,3,77,Finance & Investments,$7.6 B,private equity,United States,"Bachelor of Arts/Science, Claremont McKenna College; Doctor of Jurisprudence, UC Hastings",True,"Widowed, Remarried","Atherton, California"
George Soros,288,United States,5,90,Finance & Investments,$8.6 B,hedge funds,United States,"Bachelor of Arts/Science, London School of Economics",True,Married,"Katonah, New York"
George Thomas Muthoot,2263,India,2,70,Finance & Investments,$1.3 B,financial services,India,,False,Married,"Kottayam, India"
George Yancopoulos,2524,United States,2,61,Healthcare,$1.1 B,pharmaceuticals,United States,"Medical Doctor, Columbia University; Ph.D, Columbia University",True,Divorced,"Yorktown Heights, New York"
Gerald Ford,1249,United States,6,76,Finance & Investments,$2.5 B,banking,United States,"Bachelor of Arts/Science, Southern Methodist University; Doctor of Jurisprudence, Southern Methodist University",True,Married,"Dallas, Texas"
Gerald Schwartz,2263,Canada,4,79,Finance & Investments,$1.3 B,finance,Canada,"Master of Business Administration, Harvard University",True,Married,"Toronto, Canada"
Gerard Wertheimer,41,France,2,70,Fashion & Retail,$34.5 B,Chanel,France,,False,Married,"New York, New York"
German Khan,224,Russia,4,59,Energy,$10.1 B,"oil, banking, telecom",Russia,"Bachelor of Arts/Science, Moscow Institute of Steel and Alloys",True,Married,"London, United Kingdom"
German Larrea Mota Velasco & family,61,Mexico,0,67,Metals & Mining,$25.9 B,mining,Mexico,,False,Married,"Mexico City, Mexico"
Gerry Harvey,1444,Australia,4,81,Fashion & Retail,$2.2 B,retail,Australia,,True,Married,"Sydney, Australia"
Giammaria Giuliani,1833,Switzerland,0,43,Healthcare,$1.7 B,pharmaceuticals,Switzerland,,False,Married,"Montagnola, Switzerland"
Gianluigi & Rafaela Aponte,208,Switzerland,2,80,Logistics,$10.7 B,Shipping,Switzerland,,True,,"Geneva, Switzerland"
Gil Shwed,1008,Israel,0,52,Technology,$3 B,software,Israel,,True,Single,"Tel Aviv, Israel"
Gilles Martin,752,France,0,57,Healthcare,$3.9 B,laboratory services,France,"Bachelor of Arts/Science, Ecole centrale de Paris; Master, Syracuse University; Ph.D, Syracuse University",True,Married,"Nantes, France"
Gim Seong-gon,2674,South Korea,0,67,Manufacturing,$1 B,renewable energy,South Korea,"Bachelor of Arts/Science, Chung-Ang Univeristy",True,Married,"Seoul, South Korea"
Gina Rinehart,70,Australia,4,67,Metals & Mining,$23.6 B,mining,Australia,,False,Widowed,"Perth, Australia"
Ginia Rinehart,1833,Australia,0,34,Metals & Mining,$1.7 B,mining,Australia,,False,Married,"Sydney, Australia"
Giorgio Armani,323,Italy,0,86,Fashion & Retail,$7.7 B,luxury goods,Italy,"Drop Out, University of Piacenza",True,Single,"Milan, Italy"
Giovanni Ferrero,40,Italy,2,56,Food & Beverage,$35.1 B,"Nutella, chocolates",Italy,,False,Married,"Brussels, Belgium"
Girdhari Lal Bawri,1205,India,3,73,Healthcare,$2.6 B,pharmaceuticals,India,,True,Married,"Mumbai, India"
Gisele Trajano,2141,Brazil,0,,Fashion & Retail,$1.4 B,retail,Brazil,,False,Single,
Giuliana Benetton,956,Italy,4,83,Fashion & Retail,$3.2 B,"fashion retail, investments",Italy,,True,Widowed,"Treviso, Italy"
Giuliana Caprotti,1833,Italy,0,80,Food & Beverage,$1.7 B,supermarkets,Italy,,False,Widowed,"Milan, Italy"
Giuseppe De'Longhi & family,539,Italy,2,81,Fashion & Retail,$5.2 B,coffee makers,Italy,"Bachelor of Arts/Economics, Università Cà Foscari di Venezia",False,Divorced,"Treviso, Italy"
Gleb Fetisov,2378,Russia,3,54,Telecom,$1.2 B,investments,Russia,"Doctorate, Moscow State University",True,Married,"Moscow, Russia"
