Name,Rank,Country,Childrens,Age,Industry,NetWorth,Source,Citizenship,Education,Self_made,Status,Residence
A. Jayson Adair,2674,United States,2,51,Automotive,$1 B,damaged cars,United States,,True,Married,"Dallas, Texas"
Abdulla Al Futtaim & family,1444,United Arab Emirates,0,,Automotive,$2.2 B,"auto dealers, investments",United Arab Emirates,,False,Married,"Dubai, United Arab Emirates"
Abdulla bin Ahmad Al Ghurair & family,1111,United Arab Emirates,0,,Diversified,$2.8 B,diversified,United Arab Emirates,,False,,"Dubai, United Arab Emirates"
Abdulsamad Rabiu,574,Nigeria,0,60,Diversified,$4.9 B,"cement, sugar",Nigeria,,False,Married,"Lagos, Nigeria"
Abhay Firodia,1299,India,4,76,Automotive,$2.4 B,automobiles,India,,False,Married,"Pune, India"
Abhay Vakil & family,622,India,3,70,Manufacturing,$4.6 B,paints,India,"Bachelor of Arts/Science, Bombay University; Bachelor of Arts/Science, Syracuse University",False,Married,"Mumbai, India"
Abigail Johnson,85,United States,2,59,Finance & Investments,$20.9 B,money management,United States,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Hobart and William Smith",False,Married,"Milton, Massachusetts"
Abilio dos Santos Diniz,1205,Brazil,6,84,Fashion & Retail,$2.6 B,retail,Brazil,"Bachelor of Arts/Science, Fundacao Getulio Vargas",False,Married,"Sao Paulo, Brazil"
Achal Bakeri,2263,India,2,61,Manufacturing,$1.3 B,air coolers,India,"Master of Business Administration, Marshall School of Business",True,Married,"Ahmedabad, India"
Acharya Balkrishna,1444,India,0,48,Food & Beverage,$2.2 B,consumer goods,India,,True,Single,"Haridwar, India"
Adam Kwok,1205,Hong Kong,0,38,Real Estate,$2.6 B,real estate,Hong Kong,"Master of Business Administration, Harvard Business School; Bachelor of Science in Engineering, Stanford University",False,,"Hong Kong, Hong Kong"
Adi Godrej,1299,India,3,79,Diversified,$2.4 B,consumer goods,India,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",False,Widowed,"Mumbai, India"
Aerin Lauder,775,United States,2,50,Fashion & Retail,$3.8 B,cosmetics,United States,"Bachelor of Arts/Science, University of Pennsylvania",False,Married,"New York, New York"
Agnete Kirk Thinggaard,274,Denmark,0,37,Manufacturing,$8.7 B,Lego,Denmark,,False,,"Billund, Denmark"
Ahmet Calik,2035,Turkey,4,63,Diversified,$1.5 B,"energy, banking, construction",Turkey,,True,Married,"Istanbul, Turkey"
Ahmet Nazif Zorlu,2524,Turkey,3,76,Diversified,$1.1 B,diversified,Turkey,"Drop Out, High School",True,Married,"Istanbul, Turkey"
Airat Shaimiev,2141,Russia,0,59,Energy,$1.4 B,"refinery, chemicals",Russia,"Bachelor of Arts/Science, Moscow Power Engineering Institute, Kazan",True,,"Kazan, Russia"
Ajay Parekh,1931,India,2,63,Manufacturing,$1.6 B,adhesives,India,,False,Married,"Mumbai, India"
Ajay Piramal,727,India,2,65,Healthcare,$4 B,pharmaceuticals,India,"Bachelor of Arts/Science, Bombay University; Master of Business Administration, Bombay University",False,Married,"Mumbai, India"
Akio Nitori,539,Japan,0,77,Fashion & Retail,$5.2 B,home furnishings,Japan,,True,Married,"Hokkaido, Japan"
Akira Mori & family,727,Japan,3,84,Real Estate,$4 B,real estate,Japan,,False,Married,"Tokyo, Japan"
Alain Bouchard,680,Canada,4,72,Fashion & Retail,$4.2 B,retail,Canada,,True,Married,"Montreal, Canada"
Alain Merieux & family,304,France,3,83,Healthcare,$8.2 B,pharmaceuticals,France,,False,Married,"Lyon, France"
Alain Taravella,1580,France,0,73,Real Estate,$2 B,real estate development,France,,True,,"Paris, France"
Alain Wertheimer,41,France,3,72,Fashion & Retail,$34.5 B,Chanel,France,,False,Married,"New York, New York"
Alan Gerry,2035,United States,3,92,Media & Entertainment,$1.5 B,cable television,United States,"Drop Out, High School",True,Married,"Liberty, New York"
Alan Howard,1111,United Kingdom,4,57,Finance & Investments,$2.8 B,hedge funds,United Kingdom,"Master of Science, Imperial College London",True,Married,"Geneva, Switzerland"
Alan Miller & family,2263,United States,0,83,Healthcare,$1.3 B,healthcare services,,,,,
Alan Rydge,2674,Australia,0,68,Media & Entertainment,$1 B,entertainment,Australia,,True,Married,"Sydney, Australia"
Alan Trefler,589,United States,0,65,Technology,$4.8 B,software,United States,"Associate in Arts/Science, Dartmouth College",True,Married,"Brookline, Massachusetts"
Alan Zekelman,2378,Canada,0,58,Manufacturing,$1.2 B,steel,Canada,"Master of Science, University of Rochester; Bachelor of Commerce, University of Toronto",False,,"Bloomfield Hills, Michigan"
Albert Avdolyan,2674,Russia,4,50,Energy,$1 B,"oil, mining",Russia,"Master of Laws, Irkutsk State University",True,Married,"Moscow, Russia"
Albert Shigaboutdinov,2378,Russia,2,68,Diversified,$1.2 B,"refinery, chemicals",Russia,"Bachelor of Arts/Science, Kazan State Technical University",True,Married,"Kazan, Russia"
Alberto Alcocer,2141,Spain,5,78,Finance & Investments,$1.4 B,investments,Spain,"Doctor of Jurisprudence, Universidad Complutense de Madrid",True,Married,"Madrid, Spain"
Alberto Bailleres Gonzalez & family,255,Mexico,4,89,Metals & Mining,$9.2 B,mining,Mexico,,False,Married,"Mexico City, Mexico"
Alberto Bombassei,1299,Italy,2,80,Automotive,$2.4 B,automotive brakes,Italy,,False,Married,"Bergamo, Italy"
Alberto Cortina,2035,Spain,4,75,Finance & Investments,$1.5 B,investments,Spain,"Doctor of Jurisprudence, Universidad Complutense de Madrid",True,Married,"Madrid, Spain"
Alberto Palatchi,2035,Spain,3,71,Fashion & Retail,$1.5 B,wedding dresses,Spain,,True,Separated,"Madrid, Spain"
Alberto Prada,1580,Italy,0,67,Fashion & Retail,$2 B,luxury goods,Italy,,False,,"Milan, Italy"
Alberto Roemmers,1444,Argentina,4,94,Healthcare,$2.2 B,pharmaceuticals,Argentina,,False,Married,"Buenos Aires, Argentina"
Alberto Siccardi & family,1444,Switzerland,3,76,Healthcare,$2.2 B,medical devices,Switzerland,"Master of Business Administration, SDA Bocconi School of Management; Bachelor of Science, University of Turin",True,Married,"Lugano, Switzerland"
Alceu Elias Feldmann,520,Brazil,3,71,Energy,$5.4 B,fertilizer,Brazil,,True,Divorced,"Curitiba, Brazil"
Alec Gores,1008,United States,6,68,Finance & Investments,$3 B,private equity,United States,"Bachelor of Arts/Science, Western Michigan University",True,Married,"Beverly Hills, California"
Alejandro Bulgheroni,925,Argentina,7,76,Energy,$3.3 B,oil & gas,Argentina,,False,Married,"Manantiales, Uruguay"
Alejandro Santo Domingo,1064,United States,0,44,Food & Beverage,$2.9 B,beer,United States,"Bachelor of Arts/Science, Harvard University",False,Married,"New York, New York"
Alessandra Garavoglia,859,Italy,0,61,Food & Beverage,$3.5 B,spirits,Italy,"Bachelor of Social Sciences, University of Milan",False,,"Milan, Italy"
Alex Beard,2035,United Kingdom,0,53,Metals & Mining,$1.5 B,"mining, commodities",United Kingdom,"Master of Science, Oxford University",True,Married,"London, United Kingdom"
Alex Birkenstock,1833,Germany,0,52,Fashion & Retail,$1.7 B,shoes,Germany,,False,,
Alexander Abramov,327,Russia,3,62,Metals & Mining,$7.6 B,"steel, mining",Russia,"Bachelor of Arts/Science, Moscow Institute of Physics and Technology",True,Married,"Moscow, Russia"
Alexander Frolov,891,Russia,1,56,Metals & Mining,$3.4 B,"mining, steel",Russia,"Doctorate, Moscow Institute of Physics and Technology",True,Married,"Moscow, Russia"
Alexander Karp,1517,United States,0,53,Technology,$2.1 B,software firm,United States,"Bachelor of Arts/Science, Haverford College; Doctor of Jurisprudence, Stanford University",True,Single,"Palo Alto, California"
Alexander Klyachin,1931,Russia,2,53,Real Estate,$1.6 B,real estate,Russia,"Bachelor of Arts/Science, Moscow State University",True,Married,"Moscow, Russia"
Alexander Knauf,2524,Germany,0,46,Manufacturing,$1.1 B,building materials,Germany,,False,,
Alexander Lutsenko & family,2378,Russia,2,59,Food & Beverage,$1.2 B,agribusiness,Russia,,True,Married,Kaliningrad
Alexander Mamut,1362,Russia,5,61,Finance & Investments,$2.3 B,investments,Russia,"LLB, Moscow State University",True,Widowed,"Moscow, Russia"
Alexander Nesis,1064,Russia,5,58,Finance & Investments,$2.9 B,"metals, banking, fertilizers",Russia,"Bachelor of Arts/Science, Leningrad Technological Institute",True,Married,"Moscow, Russia"
Alexander Otto,186,Germany,0,53,Real Estate,$11.8 B,real estate,Germany,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Harvard College",False,Married,"Hamburg, Germany"
Alexander Ponomarenko,1064,Russia,3,56,Logistics,$2.9 B,"real estate, airport",Russia,"Master of Science, Russian State Academy of Management; Bachelor of Arts/Science, Simferopol State University",True,Married,"Moscow, Russia"
Alexander Samwer,2378,Germany,1,46,Technology,$1.2 B,tech investments,Germany,"Master of Business Administration, Harvard Business School; Master of Arts, Oxford University",True,Married,"Munich, Germany"
Alexander Skorobogatko,1064,Russia,3,53,Logistics,$2.9 B,"real estate, airport",Russia,"Master of Science, Plekhanov Russian University of Economics",True,Divorced,"Moscow, Russia"
Alexander Svetakov,1580,Russia,4,53,Finance & Investments,$2 B,real estate,Russia,"Bachelor of Science in Engineering, Moscow Institute of Electronic Technology",True,Divorced,"Moscow, Russia"
Alexander Tedja,2141,Indonesia,4,75,Real Estate,$1.4 B,real estate,Indonesia,,True,Married,"Jakarta, Indonesia"
Alexandra Andresen,2141,Norway,0,24,Diversified,$1.4 B,investments,Norway,,False,Single,"Oslo, Norway"
Alexandra Daitch,1833,United States,1,58,Food & Beverage,$1.7 B,Cargill,United States,,False,,"Old Lyme, Connecticut"
Alexandra Schoerghuber,502,Germany,3,62,Real Estate,$5.5 B,real estate,Germany,,False,Widowed,"Munich, Germany"
Alexandre Behring,369,Brazil,0,54,Finance & Investments,$7 B,investments,Brazil,"EMBA, Harvard University",True,Married,"Greenwich, Connecticut"
Alexandre Grendene Bartelle,1931,Brazil,7,71,Fashion & Retail,$1.6 B,shoes,Brazil,,True,Single,"Porto Alegre, Brazil"
Alexei Kuzmichev,316,Russia,3,58,Energy,$7.8 B,"oil, banking, telecom",Russia,"Bachelor of Arts/Science, Moscow Institute of Steel and Alloys",True,Married,"London, United Kingdom"
Alexey Mordashov & family,51,Russia,7,55,Metals & Mining,$29.1 B,"steel, investments",Russia,"Bachelor of Arts/Science, Leningrad Institute of Economics; Master of Business Administration, University of Northumbria",True,Married,"Moscow, Russia"
Alexey Repik,1205,Russia,3,41,Healthcare,$2.6 B,pharmaceuticals,Russia,"Master of Science, The National Research University Higher School of Economics",True,Married,"Moscow, Russia"
Alexis Lê-Quôc,1664,United States,0,46,Technology,$1.9 B,cloud computing,,,,,
Alfred Gantner,1064,Switzerland,5,53,Finance & Investments,$2.9 B,private equity,Switzerland,,True,Married,"Zug, Switzerland"
Alfred Oetker,1111,Germany,0,54,Fashion & Retail,$2.8 B,consumer goods,Germany,,False,Married,"Bielefeld, Germany"
"Alfred West, Jr.",2141,United States,3,78,Finance & Investments,$1.4 B,money management,United States,"Bachelor of Arts/Science, Georgia Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School",True,Married,"Paoli, Pennsylvania"
Alfredo Egydio Arruda Villela Filho,1931,Brazil,0,51,Finance & Investments,$1.6 B,banking,Brazil,"Master of Business Administration, Fundacao Getulio Vargas; Bachelor of Engineering, Instituto Maua de Tecnologia",False,Married,"Sao Paulo, Brazil"
Alfredo Harp Helu & family,2378,Mexico,4,77,Finance & Investments,$1.2 B,banking,Mexico,,True,Married,"Mexico City, Mexico"
Ali Erdemoglu,1750,Turkey,3,61,Manufacturing,$1.8 B,carpet,Turkey,,True,Married,"Istanbul, Turkey"
Ali Ghodsi,1750,Sweden,0,42,Technology,$1.8 B,data analytics,Sweden,"Ph.D, KTH Royal Institute of Technology; Master of Business Administration, Mid Sweden University; Master of Science in Engineering, Mid Sweden University",True,Married,"San Francisco, California"
Alice Schwartz,1299,United States,2,94,Healthcare,$2.4 B,biotech,United States,"Bachelor of Arts/Science, University of California, Berkeley",True,Widowed,"El Cerrito, California"
Alice Walton,17,United States,0,71,Fashion & Retail,$61.8 B,Walmart,United States,"Bachelor of Arts/Science, Trinity University",False,Divorced,"Fort Worth, Texas"
Alicia Koplowitz,1111,Spain,3,67,Finance & Investments,$2.8 B,"construction, investments",Spain,,False,Divorced,"Madrid, Spain"
Aliko Dangote,191,Nigeria,3,63,Manufacturing,$11.5 B,"cement, sugar",Nigeria,"Bachelor of Arts/Science, Al-Azhar University",True,Divorced,"Lagos, Nigeria"
Alisher Usmanov,99,Russia,0,67,Metals & Mining,$18.4 B,"steel, telecom, investments",Russia,"Master, Finance Academy under the Government of the Russian Federation; Master of Laws, Moscow Institute of International Relations",True,Married,"Moscow, Russia"
Allan Goldman,1008,United States,4,78,Real Estate,$3 B,real estate,United States,,False,Divorced,"New York, New York"
Allan Wong,2378,Hong Kong,2,71,Manufacturing,$1.2 B,electronics,Hong Kong,"Bachelor of Science in Engineering, University of Hong Kong; Master of Science, University of Wisconsin",True,Widowed,"Hong Kong, Hong Kong"
Aloke Lohia,1205,India,3,62,Manufacturing,$2.6 B,petrochemicals,India,,False,Married,"Bangkok, Thailand"
Aloys Wobben,384,Germany,1,69,Energy,$6.8 B,wind turbines,Germany,"Bachelor of Arts/Science, U of Oldenburg",True,Married,"Aurich, Germany"
Alvaro Saieh Bendeck,1750,Chile,5,71,Finance & Investments,$1.8 B,banking,Chile,,True,Married,"Santiago, Chile"
Amancio Ortega,11,Spain,3,85,Fashion & Retail,$77 B,Zara,Spain,,True,Married,"La Coruna, Spain"
Amit Burman,1931,India,2,51,Food & Beverage,$1.6 B,consumer goods,India,"Master of Science, Columbia University; Master of Business Administration, Judge Business School; Bachelor of Arts/Science, Lehigh University",False,Married,"Delhi, India"
Amnon Shashua,2141,Israel,0,60,Automotive,$1.4 B,automotive technology,Israel,,True,,"Kfar Shmaryahu, Israel"
"Amos Hostetter, Jr.",775,United States,3,84,Media & Entertainment,$3.8 B,cable television,United States,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard University",True,Married,"Boston, Massachusetts"
Amy Goldman Fowler,1008,United States,0,66,Real Estate,$3 B,real estate,United States,,False,Married,"Rhinebeck, New York"
Amy Wyss,1580,United States,0,50,Healthcare,$2 B,medical equipment,United States,"Bachelor of Arts/Science, Skidmore College",False,,"Wilson, Wyoming"
An Kang,520,China,0,72,Healthcare,$5.4 B,pharmaceuticals,China,"Bachelor of Arts/Science, Henan Normal University",True,Married,"Xinxiang, China"
Ana Lucia de Mattos Barretto Villela,2141,Brazil,0,47,Finance & Investments,$1.4 B,banking,Brazil,,False,Married,"Sao Paulo, Brazil"
Ana Maria Brescia Cafferata,2263,Peru,0,96,Diversified,$1.3 B,"mining, banking",Peru,,False,Single,"Lima, Peru"
Anand Burman,1362,India,2,68,Food & Beverage,$2.3 B,consumer goods,India,"Bachelor of Arts / Science, University of Kansas",False,Married,"New Delhi, India"
Anand Mahindra,1664,India,2,65,Diversified,$1.9 B,diversified,India,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Harvard University",False,Married,"Mumbai, India"
Ananda Krishnan,476,Malaysia,3,83,Telecom,$5.8 B,"telecoms, media, oil-services",Malaysia,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Melbourne University",True,Married,"Kuala Lumpur, Malaysia"
Anant Asavabhokin,2378,Thailand,3,70,Real Estate,$1.2 B,real estate,Thailand,,True,Married,"Bangkok, Thailand"
Anatoly Lomakin,2141,Russia,2,68,Metals & Mining,$1.4 B,investments,Russia,"Bachelor of Arts/Science, Moscow Institute of International Relations",True,Married,"Moscow, Russia"
Anatoly Sedykh,2263,Russia,2,56,Metals & Mining,$1.3 B,steel pipes,Russia,"Bachelor of Science in Engineering, Moscow Institute of Steel and Alloys",True,Married,"Moscow, Russia"
Anders Holch Povlsen,161,Denmark,4,48,Fashion & Retail,$13.2 B,fashion retail,Denmark,,False,Married,"Aarhus, Denmark"
Andre Esteves,638,Brazil,3,52,Finance & Investments,$4.5 B,banking,Brazil,"Bachelor of Arts/Science, Universidade Federal do Rio de Janeiro",True,Married,"Sao paulo, Brazil"
André Kasprzak,2263,Denmark,0,34,Fashion & Retail,$1.3 B,shoes,Denmark,,False,,Denmark
"Andre Koo, Sr.",925,Taiwan,2,53,Finance & Investments,$3.3 B,financial services,Taiwan,"Master of Business Administration, Leonard N. Stern School of Business; Bachelor of Arts/Science, New York University",False,Married,"Taipei, Taiwan"
André Street,1249,Brazil,0,36,Technology,$2.5 B,fintech,Brazil,"Bachelor of Arts/Economics, Fundacao Getulio Vargas; Certificate, Harvard Business School",True,Married,Brazil
Andreas Halvorsen,421,Norway,3,59,Finance & Investments,$6.3 B,hedge funds,Norway,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, Williams College",True,Married,"Darien, Connecticut"
Andreas Pohl,2141,Germany,3,56,Finance & Investments,$1.4 B,mutual funds,Germany,,False,Married,"Marburg, Germany"
Andreas Struengmann & family,200,Germany,2,71,Healthcare,$11 B,pharmaceuticals,Germany,"Medical Doctor, University at Buffalo",True,Married,"Tegernsee, Germany"
Andreas von Bechtolsheim & family,304,Germany,0,65,Technology,$8.2 B,Google,Germany,"Master of Science, Carnegie Mellon University",True,Single,"Palo Alto, California"
Andrei Bokarev,1249,Russia,1,54,Manufacturing,$2.5 B,"metals, mining",Russia,"Bachelor of Arts/Science, Finance Academy under the Government of the Russian Federation",True,Married,"Moscow, Russia"
Andrei Guriev & family,451,Russia,2,61,Manufacturing,$6 B,fertilizers,Russia,"Master, Saint Petersburg Mining University; Bachelor of Arts/Science, State Central Institute of Physical Culture",True,Married,"Moscow, Russia"
Andrei Komarov,2378,Russia,6,54,Manufacturing,$1.2 B,manufacturing,Russia,"Bachelor of Arts/Science, Moscow Institute of Chemical Engineering",True,Married,"Moscow, Russia"
Andrei Kosogov,2141,Russia,3,60,Energy,$1.4 B,Banking,Russia,"Bachelor of Science in Engineering, Moscow Power Engineering Institute",True,Married,"Moscow, Russia"
Andrei Kozitsyn,421,Russia,1,60,Metals & Mining,$6.3 B,metals,Russia,"Bachelor of Science in Engineering, Ural Polytechnic Institute",True,Married,"Verkhniaya Pyshma, Russia"
Andrei Molchanov,2378,Russia,6,49,Construction & Engineering,$1.2 B,construction materials,Russia,"Masters of Public Administration, Russian State Academy of Management; Bachelor of Arts/Science, St Petersburg State University",True,Married,"Moscow, Russia"
Andrei Rappoport,2378,Russia,2,57,Finance & Investments,$1.2 B,investments,Russia,"Bachelor of Arts/Science, Donetsk National University",True,Married,"Moscow, Russia"
Andrei Skoch & family,288,Russia,10,55,Metals & Mining,$8.6 B,steel,Russia,State Central Institute of Physical Culture,True,Single,"Moscow, Russia"
Andrej Babis,859,Czechia,4,66,Food & Beverage,$3.5 B,agriculture,Czechia,"Master, University of Economics in Bratislava (UEB)",True,Married,"Prague, Czechia"
Andres Santo Domingo,1833,United States,2,42,Food & Beverage,$1.7 B,beer,United States,"Bachelor of Arts/Science, Brown University",False,Married,"New York, New York"
Andrew & Peggy Cherng,1517,United States,0,,Food & Beverage,$2.1 B,restaurants,United States,"Master of Arts, University of Missouri; Ph.D, University of Missouri",True,Married,"Las Vegas, Nevada"
Andrew Beal,311,United States,6,68,Finance & Investments,$7.9 B,"banks, real estate",United States,"Drop Out, Baylor University",True,Divorced,"Dallas, Texas"
Andrew Currie,486,United Kingdom,0,65,Manufacturing,$5.7 B,chemicals,United Kingdom,"Bachelor of Arts/Science, Cambridge University",True,,"London, United Kingdom"
Andrew Forrest,87,Australia,3,59,Metals & Mining,$20.4 B,mining,Australia,"Bachelor of Arts/Science, University of Western Australia",True,Married,"Perth, Australia"
Andrew Paradise,1362,United States,0,38,Media & Entertainment,$2.3 B,★,United States,"Bachelor of Arts/Science, University of Massachusetts",True,,"San Francisco, California"
Andrew Tan,1008,Philippines,4,71,Diversified,$3 B,diversified,Philippines,"Bachelor of Arts/Science, University of the East",True,Married,"Manila, Philippines"
Andrey Andreev,1664,United Kingdom,0,47,Technology,$1.9 B,online dating,United Kingdom,,True,Single,"London, United Kingdom"
Andrey Blokh,1664,Russia,3,57,Manufacturing,$1.9 B,cannabis,Russia,,True,,"Moscow, Russia"
Andrey Melnichenko,105,Russia,2,49,Energy,$17.9 B,"coal, fertilizers",Russia,"Master of Science, Plekhanov Russian University of Economics",True,Married,"Moscow, Russia"
Andy Fang,1580,United States,0,28,Technology,$2 B,food delivery app,United States,"Bachelor of Arts/Science, Stanford University",True,,"MONTE VISTA, California"
Aneel Bhusri,1111,United States,1,55,Technology,$2.8 B,business software,United States,"Bachelor of Arts/Science, Brown University; Master of Business Administration, Stanford Graduate School of Business",True,Married,"San Francisco, California"
Angela Bennett,2141,Australia,7,77,Metals & Mining,$1.4 B,mining,Australia,,False,Married,"Perth, Australia"
Angela Leong,891,Hong Kong,5,60,Real Estate,$3.4 B,casinos,Hong Kong,"Diploma, High School",False,Widowed,"Hong Kong, Hong Kong"
Anil Agarwal & family,831,India,2,67,Metals & Mining,$3.6 B,"mining, metals",India,,True,Married,"London, United Kingdom"
Anita Zucker,1664,United States,3,69,Manufacturing,$1.9 B,chemicals,United States,"Bachelor of Arts/Science, University of Florida; Master of Arts, University of North Florida",False,Widowed,"Charleston, South Carolina"
Ann Walton Kroenke,294,United States,2,72,Fashion & Retail,$8.4 B,Walmart,United States,"Registered Nurse, Lincoln University",False,Married,"Electra, Texas"
Anna Kasprzak,2263,Denmark,1,31,Fashion & Retail,$1.3 B,shoes,Denmark,,False,In Relationship,"Haderslev, Denmark"
Anna Katharina Viessmann,1444,Germany,0,,Manufacturing,$2.2 B,heating and cooling equipment,Germany,,False,,
Anna Maria Braun,2141,Germany,2,42,Healthcare,$1.4 B,medical technology,Germany,,False,Married,"Melsungen, Germany"
Anne Beaufour,1580,France,0,57,Healthcare,$2 B,pharmaceuticals,France,,False,Married,United Kingdom
Anne Gittinger,2524,United States,2,85,Fashion & Retail,$1.1 B,Nordstrom department stores,United States,"Bachelor of Arts/Science, University of Washington",False,Married,"Seattle, Washington"
Anne Werninghaus,2524,Brazil,2,35,Manufacturing,$1.1 B,industrial machinery,Brazil,,False,Married,"Joinville, Brazil"
Anthony Bamford & family,311,United Kingdom,3,75,Construction & Engineering,$7.9 B,construction equipment,United Kingdom,"Bachelor of Arts/Science, Grenoble University",False,Married,"Gloucestershire, United Kingdom"
Anthony Eisen,1750,Australia,0,49,Finance & Investments,$1.8 B,fintech,Australia,"Bachelor of Commerce, University of New South Wales",True,,"Melbourne, Australia"
Anthony Hsieh,1205,United States,0,56,Finance & Investments,$2.6 B,mortgage lender,United States,"Bachelor of Business Administration, California State Fullerton",True,Divorced,"Newport Beach, California"
Anthony Langley,2035,United Kingdom,3,66,Diversified,$1.5 B,manufacturing,United Kingdom,,True,Married,"Nottinghamshire, United Kingdom"
Anthony Pratt,205,Australia,2,60,Manufacturing,$10.8 B,manufacturing,Australia,"Bachelor of Arts/Economics, Monash University",False,,"Melbourne, Australia"
Anthony Pritzker,831,United States,6,60,Service,$3.6 B,"hotels, investments",United States,"Bachelor of Arts/Science, Dartmouth College",False,Married,"Los Angeles, California"
Anthony von Mandl,274,Canada,0,,Food & Beverage,$8.7 B,alcoholic beverages,Canada,"Bachelor of Arts/Science, University of British Columbia",True,,"Vancouver, Canada"
Anthony Wood,358,United States,3,55,Technology,$7.1 B,Roku,United States,"Bachelor of Science in Engineering, Texas A&M University",True,Married,"Palo Alto, California"
Anton Rabie,2674,Canada,0,49,Manufacturing,$1 B,toys,Canada,"Bachelor of Arts/Science, Western University",True,,"Toronto, Canada"
Antonia Ax:son Johnson & family,339,Sweden,4,77,Diversified,$7.4 B,diversified,Sweden,"Master of Arts, University of Stockholm",False,Married,"Stockholm, Sweden"
Antonio Del Valle Ruiz & family,986,Mexico,5,82,Manufacturing,$3.1 B,chemicals,Mexico,,True,Married,"Mexico City, Mexico"
Antonio Gallardo Ballart,2524,Spain,3,85,Healthcare,$1.1 B,pharmaceuticals,Spain,,False,Married,"Barcelona, Spain"
Antonio Luiz Seabra,1299,Brazil,4,78,Fashion & Retail,$2.4 B,cosmetics,Brazil,,True,Married,"London, United Kingdom"
Antonio Marcegaglia,2141,Italy,0,57,Metals & Mining,$1.4 B,steel,Italy,"Bachelor of Business Administration, Bocconi University",False,,"Mantua, Italy"
Antonio Percassi,2263,Italy,6,67,Diversified,$1.3 B,"real estate, diversified",Italy,,True,Divorced,"Bergamo, Italy"
Antony Ressler,665,United States,3,59,Finance & Investments,$4.3 B,finance,United States,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Georgetown University",True,Married,"Los Angeles, California"
Antti Aarnio-Wihuri,2035,Finland,0,81,Diversified,$1.5 B,diversified,Finland,,False,,"Helsinki, Finland"
Antti Herlin,404,Finland,4,64,Manufacturing,$6.5 B,"elevators, escalators",Finland,,False,Married,"Kirkkonummi, Finland"
Anu Aga,2141,India,1,78,Construction & Engineering,$1.4 B,engineering,India,"Bachelor of Arts/Science, Bombay University",False,Widowed,"Pune, India"
Anurang Jain,1833,India,2,59,Manufacturing,$1.7 B,auto parts,India,"Master of Business Administration, University of Pittsburgh",True,Married,"Aurangabad, India"
Apoorva Mehta,859,Canada,0,34,Technology,$3.5 B,grocery delivery service,Canada,"Bachelor of Arts/Science, University of Waterloo",True,Single,"San Francisco, California"
Aras Agalarov,2378,Russia,2,65,Fashion & Retail,$1.2 B,real estate,Russia,"Bachelor of Arts/Science, Baku Polytechnical Instit",True,Married,"Moscow, Russia"
Archie Aldis Emmerson & family,956,United States,3,91,Manufacturing,$3.2 B,"timberland, lumber mills",United States,"Diploma, High School",True,Married,"Redding, California"
Archie Hwang,2141,Taiwan,0,68,Technology,$1.4 B,semiconductors,Taiwan,"Bachelor of Arts/Science, National Chiao Tung University",True,Married,"Taipei, Taiwan"
Aristotelis Mistakidis,1362,Greece,1,59,Metals & Mining,$2.3 B,"mining, commodities",Greece,"Bachelor of Arts/Science, London School of Economics",True,Married,"Zug, Switzerland"
Arkady Rotenberg,1064,Russia,5,69,Construction & Engineering,$2.9 B,"construction, pipes, banking",Russia,"Bachelor of Arts/Science, Leningrad Institute of Physical Culture",True,Divorced,"Moscow, Russia"
Arkady Volozh,1362,Russia,3,57,Media & Entertainment,$2.3 B,search engine,Russia,"Master of Science, Gubkin Russian State University of Oil and Gas",True,Married,"Moscow, Russia"
Arnon Milchan,891,Israel,4,76,Media & Entertainment,$3.4 B,movie making,Israel,,True,Married,"Tel Aviv, Israel"
Arnout Schuijff,859,Netherlands,0,53,Technology,$3.5 B,payments software,Netherlands,,True,Married,"Amsterdam, Netherlands"
Artem Khachatryan,986,Russia,0,46,Fashion & Retail,$3.1 B,retail,Russia,"Master of Science, Moscow State Mining University",True,,"Moscow, Russia"
Arthur Blank,432,United States,6,78,Sports,$6.2 B,Home Depot,United States,"Bachelor of Arts/Science, Babson College",True,Divorced,"Atlanta, Georgia"
Arthur Irving,1664,Canada,5,91,Energy,$1.9 B,oil,Canada,,False,Married,"Saint John, Canada"
Arthur Xiaobo Hong,1517,China,0,49,Fashion & Retail,$2.1 B,e-commerce,China,,True,,"Guangzhou, China"
Arturo Moreno,891,United States,3,74,Sports,$3.4 B,"billboards, Anaheim Angels",United States,"Bachelor of Arts/Science, University of Arizona",True,Married,"Phoenix, Arizona"
Arun Bharat Ram,1750,India,3,80,Manufacturing,$1.8 B,chemicals,India,"Bachelor of Science in Engineering, University of Michigan",False,Widowed,"Delhi, India"
Arvind Lal,2035,India,2,71,Healthcare,$1.5 B,medical diagnostics,India,,False,Married,"Delhi, India"
Arvind Poddar,1444,India,2,63,Automotive,$2.2 B,tires,India,,False,Married,"Mumbai, India"
